"120","4931659","Netflix","SimianArmy","6389"
"121","6358188","druid-io","druid","6372"
"122","45808756","H07000223","FlycoTabLayout","6253"
"123","52344952","YoKeyword","Fragmentation","6219"
"124","40903276","hongyangAndroid","okhttputils","6177"
"125","3766706","iBotPeaches","Apktool","6096"
"126","43370610","tbruyelle","RxPermissions","6035"
"127","24650339","google","physical-web","6030"
"128","46461070","hongyangAndroid","AndroidAutoLayout","6022"
"129","221862","rzwitserloot","lombok","6021"
"130","7905539","koral--","android-gif-drawable","6005"
"131","29012058","wasabeef","glide-transformations","5991"
"132","14681168","JakeWharton","hugo","5966"
"133","43443499","geeeeeeeeek","WeChatLuckyMoney","5961"
"134","83398100","alibaba","atlas","5955"
"135","69093112","vondear","RxTools","5913"
"136","87780098","aritraroy","UltimateAndroidReference","5857"
"137","25459400","naver","pinpoint","5841"
"138","2489216","JetBrains","intellij-community","5828"
"139","442430","jhy","jsoup","5825"
"140","9504214","facebook","buck","5745"
"141","25422633","pedant","sweet-alert-dialog","5717"
"142","56829582","youth5201314","banner","5696"
"143","25114751","lecho","hellocharts-android","5690"
"144","10214538","koush","ion","5688"
"145","537800","dropwizard","metrics","5682"
"146","8877512","nhaarman","ListViewAnimations","5678"
"147","95750391","didi","VirtualAPK","5645"
"148","73614722","CarGuo","GSYVideoPlayer","5636"
"149","41482296","DroidPluginTeam","DroidPlugin","5632"
"150","42984727","ChrisRM","material-theme-jetbrains","5568"
"151","21490963","pedrovgs","EffectiveAndroidUI","5564"
"152","39385621","trello","RxLifecycle","5555"
"153","11495787","JakeWharton","timber","5546"
"154","48446680","googlesamples","easypermissions","5481"
"155","76413186","alibaba","ARouter","5464"
"156","27764811","rey5137","material","5424"
"157","24219409","futuresimple","android-floating-action-button","5419"
"158","14393731","JakeWharton","u2020","5402"
"159","30794722","ogaclejapan","SmartTabLayout","5331"
"160","5537121","koush","AndroidAsync","5276"
"161","25062303","googlesamples","android-testing","5266"
"162","18263026","singwhatiwanna","dynamic-load-apk","5261"
"163","11888356","evant","gradle-retrolambda","5260"
"164","3523632","springside","springside4","5260"
"165","3688678","emilsjolander","StickyListHeaders","5258"
"166","9754983","eugenp","tutorials","5250"
"167","5417266","amlcurran","ShowcaseView","5248"
"168","51727325","laobie","StatusBarUtil","5210"
"169","6220644","OpenRefine","OpenRefine","5209"
"170","5198041","Netflix","eureka","5186"
"171","33218414","react-native-community","react-native-camera","5185"
"172","7694208","lucasr","twoway-view","5161"
"173","7961991","square","javapoet","5157"
"174","16389681","google","j2objc","5125"
"175","18355892","antoniolg","androidmvp","5114"
"176","25965034","rengwuxian","MaterialEditText","5110"
"177","49030451","GcsSloop","AndroidNote","5075"
"178","4812336","square","otto","5072"
"179","54783462","daniulive","SmarterStreaming","5062"
"180","13486910","facebook","rebound","5026"
"181","11704709","wyouflf","xUtils","4992"
"182","12353678","ikew0ng","SwipeBackLayout","4989"
"183","14135470","apache","storm","4983"
"184","15823460","redisson","redisson","4974"
"185","6650539","neo4j","neo4j","4970"
"186","20394581","daimajia","AndroidImageSlider","4957"
"187","2003641","swagger-api","swagger-core","4905"
"188","44662669","dbeaver","dbeaver","4902"
"189","17812502","square","okio","4899"
"190","45106382","wyouflf","xUtils3","4897"
"191","80179724","facebook","litho","4867"
"192","6072443","CyberAgent","android-gpuimage","4828"
"193","19340009","daimajia","NumberProgressBar","4825"
"194","19748251","claritylab","lucida","4824"
"195","14466432","jgilfelt","SystemBarTint","4820"
"196","20593099","dmytrodanylyk","circular-progress-button","4771"
"197","33945","sparklemotion","nokogiri","4771"
"198","44109745","google","android-classyshark","4767"
"199","12984746","gabrielemariotti","cardslib","4761"
"200","40157995","crazycodeboy","TakePhoto","4750"
"201","66252037","Devlight","InfiniteCycleViewPager","4738"
"202","88970564","QMUI","QMUI_Android","4731"
"203","8347864","vinc3m1","RoundedImageView","4718"
"204","32935745","eclipse","che","4713"
"205","8305132","LitePalFramework","LitePal","4701"
"206","4710876","Trinea","android-common","4678"
"207","14424284","leolin310148","ShortcutBadger","4676"
"208","3548254","thinkaurelius","titan","4674"
"209","11008076","stanfordnlp","CoreNLP","4669"
"210","31365325","lzyzsd","JsBridge","4660"
"211","15057216","etsy","AndroidStaggeredGrid","4657"
"212","26450553","frogermcs","InstaMaterial","4643"
"213","25208398","traex","RippleEffect","4625"
"214","6292029","yixia","VitamioBundle","4624"
"215","22043847","mission-peace","interview","4612"
"216","44050066","shwenzhang","AndResGuard","4608"
"217","31001422","square","sqlbrite","4602"
"218","65073648","JessYanCoding","MVPArms","4594"
"219","54263833","Nightonke","BoomMenu","4588"
"220","53127403","ctripcorp","apollo","4575"
"221","6709149","pardom-zz","ActiveAndroid","4565"
"222","29186327","Yalantis","Side-Menu.Android","4552"
"223","37333214","naman14","Timber","4539"
"224","64864962","alibaba","freeline","4512"
"225","76278501","kickstarter","android-oss","4494"
"226","7587038","alibaba","canal","4491"
"227","93732702","Qihoo360","RePlugin","4489"
"228","54308113","ybq","Android-SpinKit","4488"
"229","659341","facebook","facebook-android-sdk","4481"
"230","19983755","izzyleung","ZhihuDailyPurify","4467"
"231","869754","go-lang-plugin-org","go-lang-idea-plugin","4462"
"232","32834215","sockeqwe","mosby","4461"
"233","10188673","mcxiaoke","android-volley","4460"
"234","3695744","commonsguy","cw-omnibus","4450"
"235","32313383","pxb1988","dex2jar","4445"
"236","889932","scribejava","scribejava","4382"
"237","83506511","guardianproject","haven","4361"
"238","3978001","b3log","solo","4349"
"239","2942615","JakeWharton","NineOldAndroids","4349"
"240","206424","apache","cassandra","4347"
"241","1450115","AsyncHttpClient","async-http-client","4327"
"242","15648899","aporter","coursera-android","4303"
"243","5689093","AndroidBootstrap","android-bootstrap","4302"
"244","3106696","JakeWharton","DiskLruCache","4296"
"245","40877175","chentao0707","SimplifyReader","4290"
"246","5890835","ACRA","acra","4282"
"247","160999","apache","zookeeper","4274"
"248","54619450","aa112901","remusic","4271"
"249","62685536","gitpitch","gitpitch","4270"
"250","41115262","evernote","android-job","4255"
"251","36205488","motianhuo","wechat","4247"
"252","57201844","danielzeller","Depth-LIB-Android-","4225"
"253","56679521","weibocom","motan","4212"
"254","61980073","hackware1993","MagicIndicator","4204"
"255","671825","Graylog2","graylog2-server","4193"
"256","8759133","Netflix","zuul","4186"
"257","22254856","codecentric","spring-boot-admin","4186"
"258","7923123","square","android-times-square","4164"
"259","7807399","processing","processing","4164"
"260","24161015","Raizlabs","DBFlow","4163"
"261","2993595","medcl","elasticsearch-analysis-ik","4159"
"262","27729926","grpc","grpc-java","4142"
"263","30562287","prolificinteractive","material-calendarview","4130"
